NOM;LIBELLE_STRUCTURE;STATUT;LIBELLE_ADRESSE;PRECISION_ADRESSE;NOM_COMMUNE;CODE_INSEE_COMMUNE;CODE_POSTAL;ID_ADRESSE;ID_VOIE;Geo Point;Geo Shape
École maternelle La Blancheraie;Ecole maternelle;PUBLIC;18 Rue Kellerman;;ANGERS;49007;49100;516_21;516;47.46741239814262, -0.5609667020440999;"{""coordinates"": [-0.5609667020440999, 47.46741239814262], ""type"": ""Point""}"
École élémentaire Henri Chiron;Ecole élémentaire;PUBLIC;281 Avenue Pasteur;;ANGERS;49007;49100;1077_24;1077;47.48188122663551, -0.524586481438617;"{""coordinates"": [-0.524586481438617, 47.48188122663551], ""type"": ""Point""}"
École maternelle Condorcet;Ecole maternelle;PUBLIC;1 Rue Gutenberg;;ANGERS;49007;49000;669_1;669;47.458661449126225, -0.5536163236796632;"{""coordinates"": [-0.5536163236796632, 47.458661449126225], ""type"": ""Point""}"
École élémentaire Jacques Prévert;Ecole élémentaire;PUBLIC;Rue Alexis Axilette;;ANGERS;49007;49000;63_10;63;47.452702225225174, -0.5472638185276208;"{""coordinates"": [-0.5472638185276208, 47.452702225225174], ""type"": ""Point""}"
École élémentaire Victor Hugo;Ecole élémentaire;PUBLIC;26 Rue Victor Hugo;;ANGERS;49007;49100;707_26;707;47.4783238942165, -0.5364651196103555;"{""coordinates"": [-0.5364651196103555, 47.4783238942165], ""type"": ""Point""}"
École élémentaire Joseph Cussonneau;Ecole élémentaire;PUBLIC;15 Rue Des Cordeliers;;ANGERS;49007;49100;394_15;394;47.47230305033835, -0.5497137810431233;"{""coordinates"": [-0.5497137810431233, 47.47230305033835], ""type"": ""Point""}"
École élémentaire Condorcet;Ecole élémentaire;PUBLIC;5 Rue Gutenberg;;ANGERS;49007;49000;669_5;669;47.4587587787937, -0.5525370846434746;"{""coordinates"": [-0.5525370846434746, 47.4587587787937], ""type"": ""Point""}"
École maternelle Henri Chiron;Ecole maternelle;PUBLIC;281 Avenue Pasteur;;ANGERS;49007;49100;1040_281;1040;47.48137884087852, -0.5255410287924075;"{""coordinates"": [-0.5255410287924075, 47.48137884087852], ""type"": ""Point""}"
École maternelle Adrien Tigeot;Ecole maternelle;PUBLIC;162 Rue Saumuroise;;ANGERS;49007;49000;1257_162;1257;47.4538447275506, -0.5278210274567116;"{""coordinates"": [-0.5278210274567116, 47.4538447275506], ""type"": ""Point""}"
École primaire Anne Dacier;Ecole primaire / Groupe scolaire;PUBLIC;7 Bis Rue Dacier;;ANGERS;49007;49100;430_7BIS;430;47.47916715523564, -0.566755821453548;"{""coordinates"": [-0.566755821453548, 47.47916715523564], ""type"": ""Point""}"
École maternelle Pierre et Marie Curie;Ecole maternelle;PUBLIC;18 Rue Du Colonel De Sauveboeuf;;ANGERS;49007;49000;1260_18;1260;47.47904772449058, -0.5925822089833916;"{""coordinates"": [-0.5925822089833916, 47.47904772449058], ""type"": ""Point""}"
École maternelle Jules Verne;Ecole maternelle;PUBLIC;30 Square Francois Mauriac;;ANGERS;49007;49000;900_30;900;47.44630701105074, -0.566641274206893;"{""coordinates"": [-0.566641274206893, 47.44630701105074], ""type"": ""Point""}"
École primaire La Pérussaie;Ecole primaire / Groupe scolaire;PUBLIC;15 Rue Du Haut Chene;;ANGERS;49007;49000;342_15;342;47.4671865608724, -0.5985497554478117;"{""coordinates"": [-0.5985497554478117, 47.4671865608724], ""type"": ""Point""}"
